video_id,title,comment_count,dislikes,likes,rate_of_likes_and_dislikes,views,category_id,category_name,trending_date,publish_date,duration,views_per_day
yvicqMrAHvQ,Turkish Airlines - 5 Senses with Dr. Oz,465,374,4666,12.47593583,23932421,19,Travel_Events,11/15/2017,11/12/2017,3,7977473.667
9v_rtaye2yY,"Migos, Nicki Minaj, Cardi B - MotorSport",57566,29977,548457,18.29592688,23575103,10,Music,12/14/2017,12/8/2017,6,3929183.833
ju_inUnrLc4,Fifth Harmony - Don't Say You Love Me,52432,15993,676467,42.29769274,23502572,10,Music,6/14/2018,5/18/2018,27,870465.6296
OK3GJ0WIQ8s,j-hope 'Daydream' MV,477233,29088,2672431,91.87400303,23416810,10,Music,3/6/2018,3/1/2018,5,4683362
SCq8n_hOcN8,Nicki Minaj - Chun-Li (Music Video),36436,35804,409234,11.42984024,22918328,10,Music,5/14/2018,4/14/2018,30,763944.2667
g4Hbz2jLxvQ,SPIDER-MAN: INTO THE SPIDER-VERSE - Official Trailer (HD),45545,21428,450315,21.01526041,22713067,24,Entertainment,6/14/2018,6/6/2018,8,2839133.375
DIBw9dSVKdU,Ralph Breaks The Internet: Wreck-It Ralph 2 Official Teaser Trailer,53401,14980,295631,19.73504673,22546976,1,Film_Animation,3/15/2018,2/28/2018,15,1503131.733
S9KxqRUcnCU,Boomerang Trick Shots | Dude Perfect,37216,15147,848043,55.98752228,22233274,17,Sports,4/7/2018,3/26/2018,12,1852772.833
tjA7nAHOAww,"LSD - Audio ft. Sia, Diplo, Labrinth",14297,7435,472521,63.55359785,21986883,10,Music,6/8/2018,5/10/2018,29,758168.3793
l884wKofd54,Enrique Iglesias - MOVE TO MIAMI (Official Video) ft. Pitbull,9554,11847,247098,20.85743226,21980138,10,Music,6/5/2018,5/9/2018,27,814079.1852
MAjY8mCTXWk,"Jay Chou - If You Don't Love Me, It's Fine - Official MV",15418,10716,140214,13.08454647,21957640,10,Music,6/11/2018,5/14/2018,28,784201.4286
mdWcaWBxxcY,"Rita Ora - Girls ft. Cardi B, Bebe Rexha & Charli XCX (Official Lyric Video)",29748,35874,347563,9.688437308,21888660,24,Entertainment,6/9/2018,5/11/2018,29,754781.3793
voG07pt-KYI,ZAYN - Entertainer (Official Video),38300,16618,634770,38.19773739,21688951,10,Music,6/14/2018,5/23/2018,22,985861.4091
J_CFBjAyPWE,Red Velvet 'Bad Boy' MV,128809,28662,1072246,37.41002024,21594339,10,Music,2/4/2018,1/29/2018,6,3599056.5
EBt_88nxG4c,P!nk - Beautiful Trauma (Official Video),34879,21898,504791,23.05192255,21545253,10,Music,11/30/2017,11/21/2017,9,2393917
8JnfIa84TnU,Clean Bandit - Solo feat. Demi Lovato [Official Video],13881,10532,454441,43.14859476,21250349,10,Music,6/14/2018,5/31/2018,14,1517882.071
WyZz9muaKFc,I Got 99 Problems But Being A Girl Ain't One! DIY Girls Hacks and More by Blossom,5264,14808,114989,7.765329552,21211851,26,Howto_Style,5/14/2018,4/21/2018,23,922254.3913
NooW_RbfdWI,Jurassic World: Fallen Kingdom - Official Trailer #2 [HD],20099,7076,254342,35.94431882,21113889,24,Entertainment,2/14/2018,2/4/2018,10,2111388.9
V5cOvyDpWfM,Fergie Performs The U.S. National Anthem / 2018 NBA All-Star Game,65181,176903,59281,0.335104549,21005589,17,Sports,2/28/2018,2/19/2018,9,2333954.333
8h--kFui1JA,Sam Smith - Pray (Official Video) ft. Logic,12451,9294,359012,38.62836238,20934803,10,Music,2/20/2018,2/14/2018,6,3489133.833
cH4E_t3m3xM,"Selena Gomez, Marshmello - Wolves",44075,17557,804496,45.82195136,20752341,10,Music,11/27/2017,11/18/2017,9,2305815.667
wbSwFU6tY1c,Falcon Heavy Test Flight,38514,12623,384958,30.49655391,20658640,28,Science_Technology,2/16/2018,2/6/2018,10,2065864
V15BYnSr0P8,Live It Up (Official Video) - Nicky Jam feat. Will Smith & Era Istrefi (2018 FIFA World Cup Russia),64390,44854,568680,12.67846792,20409647,10,Music,6/14/2018,6/8/2018,6,3401607.833
kton-qrKNLc,Meghan Trainor - No Excuses,23556,30159,371137,12.30601147,19998243,10,Music,3/16/2018,3/1/2018,15,1333216.2
fAIX12F6958,Bumblebee (2018) - Official Teaser Trailer - Paramount Pictures,46318,16420,228670,13.92630938,19864779,1,Film_Animation,6/14/2018,6/5/2018,9,2207197.667
UUkn-enk2RU,Marvel Studios' Ant-Man and The Wasp - Official Trailer,32200,9293,446196,48.01420424,19834563,24,Entertainment,5/25/2018,5/1/2018,24,826440.125
Zr4md5OqL60,Bud Light - The Bud Knight,3548,9632,33575,3.485776578,19669098,24,Entertainment,2/9/2018,2/1/2018,8,2458637.25
XUqRem0W8L8,Drake - God's Plan (Official Music Video),66540,18295,809476,44.2457502,19586636,10,Music,2/27/2018,2/16/2018,11,1780603.273
xZNBFcwd7zc,"Deadpool, Meet Cable",19622,6283,363428,57.8430686,19434177,1,Film_Animation,2/10/2018,2/7/2018,3,6478059
MuPL-PSMX0Q,World's Longest LEGO Walk | Dude Perfect,42478,22610,479898,21.22503317,19412787,17,Sports,3/14/2018,3/5/2018,9,2156976.333
BQ31l1gPGKM,J. Balvin - Ahora,19735,12457,356298,28.60223168,19177871,10,Music,3/1/2018,2/26/2018,3,6392623.667
wylMwU1wEOM,Diplo - Color Blind (feat. Lil Xan) (Official Music Video),22069,25366,433074,17.07301112,19150418,10,Music,4/29/2018,4/10/2018,19,1007916.737
khPLWaBioOs,Logan Paul - SANTA DISS TRACK (Official Music Video),175929,140271,1013411,7.224665113,18938867,24,Entertainment,12/18/2017,12/10/2017,8,2367358.375
gA-NDZb29I4,Justin Timberlake - Filthy (Official Video),32777,61447,293244,4.772307843,18871288,10,Music,1/12/2018,1/5/2018,7,2695898.286
